,ko,target,log2FoldChange
21018,Ikzf1_Plate15,ENSMUSG00000024664,0.9633959569941529
21019,Ikzf1_Plate15,ENSMUSG00000024665,0.583889180651664
21020,Ikzf1_Plate15,ENSMUSG00000024668,-0.252742737149198
21021,Ikzf1_Plate15,ENSMUSG00000024679,3.7948139717258704
21022,Ikzf1_Plate15,ENSMUSG00000024681,0.476536387697006
21024,Ikzf1_Plate15,ENSMUSG00000024696,-0.47659642104343497
21026,Ikzf1_Plate15,ENSMUSG00000024736,1.13965182496071
21028,Ikzf1_Plate15,ENSMUSG00000024754,0.613289537136677
21031,Ikzf1_Plate15,ENSMUSG00000024784,2.6599490117587594
21032,Ikzf1_Plate15,ENSMUSG00000024799,0.40986076101940794
21034,Ikzf1_Plate15,ENSMUSG00000024835,0.275984172423607
21037,Ikzf1_Plate15,ENSMUSG00000024866,1.07280274020366
21038,Ikzf1_Plate15,ENSMUSG00000024875,0.21741612019456896
21039,Ikzf1_Plate15,ENSMUSG00000024887,0.692569334072688
21043,Ikzf1_Plate15,ENSMUSG00000024953,0.24948145384288398
21044,Ikzf1_Plate15,ENSMUSG00000024960,0.519188893118799
21050,Ikzf1_Plate15,ENSMUSG00000025001,-0.233792521604971
21051,Ikzf1_Plate15,ENSMUSG00000025006,1.0386182998223599
21053,Ikzf1_Plate15,ENSMUSG00000025027,0.31089151054973496
21054,Ikzf1_Plate15,ENSMUSG00000025036,0.409303337695203
21055,Ikzf1_Plate15,ENSMUSG00000025050,-0.349366212157406
21056,Ikzf1_Plate15,ENSMUSG00000025060,0.335726871911138
21057,Ikzf1_Plate15,ENSMUSG00000025066,-0.299247099629938
21061,Ikzf1_Plate15,ENSMUSG00000025089,-0.801139291533037
21062,Ikzf1_Plate15,ENSMUSG00000025127,4.53005373512175
21071,Ikzf1_Plate15,ENSMUSG00000025203,0.280419276028563
21073,Ikzf1_Plate15,ENSMUSG00000025227,0.5323969016782549
21078,Ikzf1_Plate15,ENSMUSG00000025268,0.7457725031248671
21079,Ikzf1_Plate15,ENSMUSG00000025269,0.31786028142807504
21081,Ikzf1_Plate15,ENSMUSG00000025316,0.47108080896117704
21084,Ikzf1_Plate15,ENSMUSG00000025375,0.9991605515168679
21091,Ikzf1_Plate15,ENSMUSG00000025491,0.47644119239129296
21092,Ikzf1_Plate15,ENSMUSG00000025492,0.8910686406465559
21093,Ikzf1_Plate15,ENSMUSG00000025494,-0.203084295733636
21095,Ikzf1_Plate15,ENSMUSG00000025511,0.259020012252177
21102,Ikzf1_Plate15,ENSMUSG00000025626,-0.20134995236085101
21105,Ikzf1_Plate15,ENSMUSG00000025780,0.8307339540009839
21108,Ikzf1_Plate15,ENSMUSG00000025790,0.42627086091264205
21109,Ikzf1_Plate15,ENSMUSG00000025809,0.326215836532211
21111,Ikzf1_Plate15,ENSMUSG00000025817,-0.20968033145943898
21115,Ikzf1_Plate15,ENSMUSG00000025871,-0.358428152706838
21117,Ikzf1_Plate15,ENSMUSG00000025888,-0.222287469151189
21121,Ikzf1_Plate15,ENSMUSG00000025958,0.25579684082340803
21122,Ikzf1_Plate15,ENSMUSG00000025969,2.05021179099128
21127,Ikzf1_Plate15,ENSMUSG00000026012,1.06710265821897
21128,Ikzf1_Plate15,ENSMUSG00000026014,0.7088322148762449
21132,Ikzf1_Plate15,ENSMUSG00000026047,0.30137862980602304
21135,Ikzf1_Plate15,ENSMUSG00000026102,0.300948143759347
